i_episode,total_reward,score,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
25,-210.463947561,-2.56663350685,4.919999999999983,-15.5122713362,-5.27043955405,0.0,5.85891429298,5.71726324155,0.0,-4.98368225596,-8.75200466954,-49.9658255004,-0.141584567788,-28.6457519466,0.0,899.750491674,99.3911657169,899.343147263,899.668200346
26,-218.537361,-2.60163525,5.0399999999999805,-16.1597450369,-5.4407145016,0.0,0.550287077778,2.28498117268,0.0,-3.9327170505,-6.36175777667,-42.139905058,-0.0177440484406,-28.6453722569,0.0,899.635420894,99.1593519283,900.604486258,899.775576676
27,-213.37983119,-2.57084133963,4.979999999999982,-16.1211455986,-0.22062682207,0.0,0.0188168296781,4.00560808301,0.0,-5.11037057561,-0.11350203759,-46.5226455086,0.035982049526,-28.6762210253,0.0,900.543393437,99.3117475157,900.072666966,899.470564064
28,-186.336783566,-2.51806464279,4.439999999999993,-12.9072854084,-22.3397654442,0.0,5.19376571626,0.651814702264,0.0,-4.20208930629,-52.2878767431,-117.440794391,-0.353338847696,-28.6494031024,0.0,899.618252533,99.9161871797,900.015154654,900.425732675
29,-219.569757959,-2.61392568999,5.0399999999999805,-16.4038269912,-8.7032192275,0.00159228003274,0.956242888972,2.34517815629,0.0,-3.58250793029,-10.4813146659,-38.0958692534,0.45232639846,-28.6421133888,0.0,899.611952767,99.3977998574,899.729109053,900.396094077
30,-217.737532939,-2.59211348737,5.0399999999999805,-14.5439043946,-6.11351085716,24.5178931357,3.00099065486,2.28057218783,0.0,-2.3956337503,0.921405902764,-28.9223233002,1.0643412097,-28.65007029,0.0,899.848614085,100.293960874,900.093866135,900.896436567
31,-213.768779084,-2.57552745884,4.979999999999982,-16.1638323353,-3.79423954466,0.0,6.06418967273,3.99863025122,0.0,-4.98043060312,-5.62309375107,-48.1734374908,0.26725524656,-28.6612118696,0.0,900.165636448,100.264811142,898.60028552,900.168884192
32,-218.886983128,-2.6057974182,5.0399999999999805,-15.7946126484,-13.8478428923,6.44266962387,0.987913582287,2.31914257904,0.0,-3.17036908475,-12.4781685508,-34.0002257875,0.12540727944,-28.6553053301,0.0,900.046600388,99.4663226377,900.22829668,900.118735173
33,-219.611077818,-2.61441759308,5.0399999999999805,-16.6743215322,-8.28316137062,0.0,0.762567999095,2.34388065116,0.0,-3.77380093048,-9.58707994363,-39.1909535017,-0.0487113047875,-28.6483915018,0.0,900.138673755,100.894752117,900.747897762,899.217528467
34,-206.048673022,-2.57560841277,4.799999999999986,-15.7330850663,-13.3898833247,0.0,5.63536695179,2.87363053022,0.0,-3.66098334043,-25.9257251089,-59.8440351602,-0.273814843172,-28.6497606811,0.0,900.013541861,100.540230513,899.574920414,899.974120812
